year	category	nominee	win	performance	nominee_id
2009	Best Scenic Design of a Play	Derek McLane	Winner	33 Variations	derek-mclane-26359
2009	Best Scenic Design of a Play	Dale Ferguson	Nominee	Exit the King	dale-ferguson-482530
2009	Best Scenic Design of a Play	Michael Yeargan	Nominee	Joe Turner's Come and Gone	michael-yeargan-26593
2009	Best Scenic Design of a Play	Rob Howell	Nominee	The Norman Conquests: Living Together	rob-howell-75896
2009	Best Scenic Design of a Play	Rob Howell	Nominee	The Norman Conquests: Round and Round the Garden	rob-howell-75896
2009	Best Scenic Design of a Play	Rob Howell	Nominee	The Norman Conquests: Table Manners	rob-howell-75896
2009	Best Scenic Design of a Musical	Ian MacNeil	Winner	Billy Elliot: The Musical	ian-macneil-24963
2009	Best Scenic Design of a Musical	Robert Brill	Nominee	Guys and Dolls	robert-brill-26059
2009	Best Scenic Design of a Musical	Mark Wendland	Nominee	Next To Normal	mark-wendland-26573
2009	Best Scenic Design of a Musical	Scott Pask	Nominee	Pal Joey	scott-pask-88210
2009	Best Costume Design of a Play	Anthony Ward	Winner	Mary Stuart	anthony-ward-24629
2009	Best Costume Design of a Play	Martin Pakledinaz	Nominee	Blithe Spirit	martin-pakledinaz-25098
2009	Best Costume Design of a Play	Dale Ferguson	Nominee	Exit the King	dale-ferguson-482530
2009	Best Costume Design of a Play	Jane Greenwood	Nominee	Waiting for Godot	jane-greenwood-24916
2009	Best Costume Design of a Musical	Tim Hatley	Winner	Shrek The Musical	tim-hatley-25370
2009	Best Costume Design of a Musical	Nicky Gillibrand	Nominee	Billy Elliot: The Musical	nicky-gillibrand-118960
2009	Best Costume Design of a Musical	Michael McDonald	Nominee	Hair	michael-mcdonald-108028
2009	Best Costume Design of a Musical	Gregory Gale	Nominee	Rock of Ages	gregory-gale-24918
2009	Best Lighting Design of a Play	Brian MacDevitt	Winner	Joe Turner's Come and Gone	brian-macdevitt-25766
2009	Best Lighting Design of a Play	David Lander	Nominee	33 Variations	david-lander-482552
2009	Best Lighting Design of a Play	David Hersey	Nominee	Equus	david-hersey-25695
2009	Best Lighting Design of a Play	Hugh Vanstone	Nominee	Mary Stuart	hugh-vanstone-25931
2009	Best Lighting Design of a Musical	Rick Fisher	Winner	Billy Elliot: The Musical	rick-fisher-25659
2009	Best Lighting Design of a Musical	Kevin Adams	Nominee	Hair	kevin-adams-25504
2009	Best Lighting Design of a Musical	Kevin Adams	Nominee	Next To Normal	kevin-adams-25504
