year	category	nominee	winner	film
1932	WRITING (Adaptation)	Edwin Burke	True	Bad Girl
1932	WRITING (Adaptation)	Percy Heath, Samuel Hoffenstein	False	Dr. Jekyll and Mr. Hyde
1932	WRITING (Original Story)	Frances Marion	True	The Champ
1932	WRITING (Original Story)	Grover Jones, William Slavens McNutt	False	Lady and Gent
1932	WRITING (Original Story)	Lucien Hubbard	False	The Star Witness
1932	WRITING (Original Story)	Adela Rogers St. Johns, Jane Murfin	False	What Price Hollywood?
1932	ACTOR	Leslie Howard	False	Berkeley Square
1932	ACTOR	Charles Laughton	True	The Private Life of Henry VIII
1932	ACTOR	Paul Muni	False	I Am a Fugitive from a Chain Gang
1932	ACTRESS	Katharine Hepburn	True	Morning Glory
1932	ACTRESS	May Robson	False	Lady for a Day
1932	ACTRESS	Diana Wynyard	False	Cavalcade
1932	ART DIRECTION	William S. Darling	True	Cavalcade
1932	ART DIRECTION	Hans Dreier, Roland Anderson	False	A Farewell to Arms
1932	ART DIRECTION	Cedric Gibbons	False	When Ladies Meet
1932	ASSISTANT DIRECTOR	Percy Ikerd (Fox)	False	
1932	ASSISTANT DIRECTOR	William Tummel (Fox)	True	
1932	ASSISTANT DIRECTOR	Charles Dorian (Metro-Goldwyn-Mayer)	True	
1932	ASSISTANT DIRECTOR	Bunny Dull (Metro-Goldwyn-Mayer)	False	
1932	ASSISTANT DIRECTOR	John S. Waters (Metro-Goldwyn-Mayer)	False	
1932	ASSISTANT DIRECTOR	Charles Barton (Paramount)	True	
1932	ASSISTANT DIRECTOR	Sidney S. Brod (Paramount)	False	
1932	ASSISTANT DIRECTOR	Arthur Jacobson (Paramount)	False	
1932	ASSISTANT DIRECTOR	Eddie Killey (RKO Radio)	False	
1932	ASSISTANT DIRECTOR	Dewey Starkey (RKO Radio)	True	
1932	ASSISTANT DIRECTOR	Fred Fox (United Artists)	True	
1932	ASSISTANT DIRECTOR	Benjamin Silvey (United Artists)	False	
1932	ASSISTANT DIRECTOR	Scott Beal (Universal)	True	
1932	ASSISTANT DIRECTOR	Joe McDonough (Universal)	False	
1932	ASSISTANT DIRECTOR	W. J. Reiter (Universal)	False	
1932	ASSISTANT DIRECTOR	Al Alborn (Warner Bros.)	False	
1932	ASSISTANT DIRECTOR	Gordon Hollingshead (Warner Bros.)	True	
1932	ASSISTANT DIRECTOR	Frank X. Shaw (Warner Bros.)	False	
1932	CINEMATOGRAPHY	Charles Bryant Lang, Jr.	True	A Farewell to Arms
1932	CINEMATOGRAPHY	George J. Folsey	False	Reunion in Vienna
1932	CINEMATOGRAPHY	Karl Struss	False	The Sign of the Cross
1932	DIRECTING	Frank Lloyd	True	Cavalcade
1932	DIRECTING	Frank Capra	False	Lady for a Day
1932	DIRECTING	George Cukor	False	Little Women
1932	OUTSTANDING PRODUCTION	Fox	True	Cavalcade
1932	OUTSTANDING PRODUCTION	Paramount	False	A Farewell to Arms
1932	OUTSTANDING PRODUCTION	Warner Bros.	False	42nd Street
1932	OUTSTANDING PRODUCTION	Warner Bros.	False	I Am a Fugitive from a Chain Gang
1932	OUTSTANDING PRODUCTION	Columbia	False	Lady for a Day
1932	OUTSTANDING PRODUCTION	RKO Radio	False	Little Women
1932	OUTSTANDING PRODUCTION	London Films	False	The Private Life of Henry VIII
1932	OUTSTANDING PRODUCTION	Paramount	False	She Done Him Wrong
1932	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	Smilin' Through
1932	OUTSTANDING PRODUCTION	Fox	False	State Fair
1932	SHORT SUBJECT (Cartoon)	Walt Disney, Producer	False	Building a Building
1932	SHORT SUBJECT (Cartoon)	Walter Lantz, Producer	False	The Merry Old Soul
1932	SHORT SUBJECT (Cartoon)	Walt Disney, Producer	True	The Three Little Pigs
1932	SHORT SUBJECT (Comedy)	Warren Doane, Producer	False	Mister Mugg
1932	SHORT SUBJECT (Comedy)	Louis Brock, Producer	False	A Preferred List
1932	SHORT SUBJECT (Comedy)	Louis Brock, Producer	True	So This Is Harris
1932	SHORT SUBJECT (Novelty)	Joe Rock, Producer	True	Krakatoa
1932	SHORT SUBJECT (Novelty)	Pete Smith, Producer	False	Menu
1932	SHORT SUBJECT (Novelty)	Educational	False	The Sea
1932	SOUND RECORDING	Paramount Studio Sound Department, Franklin B. Hansen, Sound Director	True	A Farewell to Arms
